"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Amherst Town Precinct 3,,3,3,3873,AMHERST,8,0.852,545.36,2012,2206994.33034,9674.21336509
Amherst Town Precinct 9,,9,9,3885,AMHERST,8,0.982,628.36,2012,2542872.72024,7601.76947038
Amherst Town Precinct 6,,6,6,3604,AMHERST,8,3.813,2440.2,2012,9875171.4794,16957.2529118
Lunenburg Town Precinct C,,C,C,2422,LUNENBURG,162,8.417,5386.88,2012,21800000.1371,22976.9262652
Lunenburg Town Precinct D,,D,D,2625,LUNENBURG,162,6.599,4223.45,2012,17091754.4651,24688.6753286
Malden City Ward 1 Precinct 1,1,1,1-1,3699,MALDEN,165,0.343,219.6,2012,888690.40711,4028.64070032
Medford City Ward 5 Precinct 1,5,1,5-1,3474,MEDFORD,176,0.293,187.3,2012,757990.41813,5287.1779153
Medford City Ward 8 Precinct 2,8,2,8-2,3482,MEDFORD,176,0.452,289.34,2012,1170927.17654,5507.65100886
Malden City Ward 7 Precinct 2,7,2,7-2,3662,MALDEN,165,0.268,171.83,2012,695366.969318,4315.52455157
Malden City Ward 8 Precinct 1,8,1,8-1,3681,MALDEN,165,0.607,388.62,2012,1572713.57113,5514.6391953
Malden City Ward 8 Precinct 2,8,2,8-2,3814,MALDEN,165,0.389,248.77,2012,1006748.51641,5049.18380514
Mansfield Town Precinct 1,,1,1,3781,MANSFIELD,167,4.498,2878.72,2012,11649816.5669,15319.3051273
Mansfield Town Precinct 2,,2,2,3876,MANSFIELD,167,5.234,3349.9,2012,13556599.3763,17229.554929
Mansfield Town Precinct 3,,3,3,3890,MANSFIELD,167,3.402,2177.16,2012,8810709.15779,12827.4467472
Watertown Town Precinct 11,,11,11,2586,WATERTOWN,314,0.213,136.52,2012,552490.124372,3681.13087635
Mansfield Town Precinct 4,,4,4,3909,MANSFIELD,167,2.527,1617.22,2012,6544665.27208,10959.2441664
Mansfield Town Precinct 5,,5,5,3834,MANSFIELD,167,2.477,1585.07,2012,6414570.68257,15701.3236045
Mansfield Town Precinct 6,,6,6,3894,MANSFIELD,167,2.283,1460.92,2012,5912149.59063,11344.9119537
Maynard Town Precinct 4,,4,4,2542,MAYNARD,174,0.855,547.26,2012,2214705.98746,6845.45894149
Maynard Town Precinct 1,,1,1,2507,MAYNARD,174,0.978,625.79,2012,2532489.65646,7458.28716023
Maynard Town Precinct 2,,2,2,2575,MAYNARD,174,0.926,592.92,2012,2399485.75516,7377.15617655
Malden City Ward 1 Precinct 2,1,2,1-2,3750,MALDEN,165,0.293,187.34,2012,758151.192872,5398.29224689
Malden City Ward 2 Precinct 1,2,1,2-1,3742,MALDEN,165,0.177,113.55,2012,459526.116546,3387.31249766
Malden City Ward 2 Precinct 2,2,2,2-2,3719,MALDEN,165,0.251,160.61,2012,649955.517879,3751.30134507
Malden City Ward 3 Precinct 1,3,1,3-1,3626,MALDEN,165,0.31,198.23,2012,802196.631723,5062.39732634
Malden City Ward 3 Precinct 2,3,2,3-2,3818,MALDEN,165,0.452,289.5,2012,1171589.1852,5571.3365218
Malden City Ward 4 Precinct 1,4,1,4-1,3715,MALDEN,165,0.242,154.72,2012,626114.878643,4785.38048644
Malden City Ward 4 Precinct 2,4,2,4-2,3672,MALDEN,165,0.188,120.12,2012,486095.656042,3204.81629255
Malden City Ward 5 Precinct 1,5,1,5-1,3687,MALDEN,165,0.227,145.27,2012,587877.386138,3953.74458413
Malden City Ward 5 Precinct 2,5,2,5-2,3713,MALDEN,165,0.46,294.37,2012,1191266.31907,5385.88709839
Malden City Ward 6 Precinct 1,6,1,6-1,3711,MALDEN,165,0.378,242.07,2012,979632.460275,4805.68619597
Medford City Ward 7 Precinct 1,7,1,7-1,3369,MEDFORD,176,0.544,348.41,2012,1409965.3281,8340.09703421
Medford City Ward 7 Precinct 2,7,2,7-2,3555,MEDFORD,176,0.454,290.56,2012,1175865.81075,6360.77927714
Medford City Ward 1 Precinct 1,1,1,1-1,3656,MEDFORD,176,0.354,226.29,2012,915761.080308,5662.369275
Agawam Town Precinct 3,,3,3,3625,AGAWAM,5,2.082,1332.75,2012,5393475.78714,11452.6210366
Blackstone Town Precinct 3,,3,3,2951,BLACKSTONE,32,6.997,4478.37,2012,18123375.578,20561.3975236
Medway Town Precinct 3,,3,3,3156,MEDWAY,177,2.835,1814.22,2012,7341907.80899,13886.3795622
Medway Town Precinct 4,,4,4,3216,MEDWAY,177,3.485,2230.42,2012,9026218.5402,11743.2666544
Medway Town Precinct 2,,2,2,3295,MEDWAY,177,1.728,1105.84,2012,4475175.4723,12730.542741
Billerica Town Precinct 5,,5,5,3575,BILLERICA,31,2.393,1531.6,2012,6198181.32297,12995.3308256
Billerica Town Precinct 6,,6,6,3755,BILLERICA,31,3.78,2419.4,2012,9791002.24874,14811.3429251
Billerica Town Precinct 7,,7,7,3548,BILLERICA,31,2.856,1827.69,2012,7396411.14918,14244.3878988
Brookline Town Precinct 10,,10,10,3837,BROOKLINE,46,0.114,72.9,2012,294997.75011,3968.5530446
Brookline Town Precinct 11,,11,11,3532,BROOKLINE,46,0.202,129.41,2012,523700.398637,3121.96685369
Brookline Town Precinct 12,,12,12,3841,BROOKLINE,46,0.28,179.41,2012,726056.229132,3957.69649264
Medford City Ward 2 Precinct 1,2,1,2-1,3654,MEDFORD,176,0.375,239.69,2012,970007.899961,4960.34534553
Medford City Ward 2 Precinct 2,2,2,2-2,3484,MEDFORD,176,0.868,555.22,2012,2246903.06134,7445.16215975
Medford City Ward 3 Precinct 1,3,1,3-1,3544,MEDFORD,176,2.019,1292.31,2012,5229824.91887,11670.9753793
Medford City Ward 3 Precinct 2,3,2,3-2,3369,MEDFORD,176,0.767,490.9,2012,1986622.58684,8438.75819192
Medford City Ward 8 Precinct 1,8,1,8-1,3635,MEDFORD,176,0.376,240.47,2012,973149.198901,5166.32970832
Medford City Ward 4 Precinct 2,4,2,4-2,3597,MEDFORD,176,0.273,174.53,2012,706290.106141,4030.61370817
Medford City Ward 6 Precinct 2,6,2,6-2,3391,MEDFORD,176,0.407,260.62,2012,1054715.30365,6055.09388252
Medford City Ward 4 Precinct 1,4,1,4-1,3428,MEDFORD,176,0.2,128.26,2012,519061.197415,3992.53266009
Blackstone Town Precinct 1,,1,1,3099,BLACKSTONE,32,2.03,1299.37,2012,5258372.31099,11543.1450495
Blackstone Town Precinct 2,,2,2,2976,BLACKSTONE,32,2.363,1512.45,2012,6120702.09711,14884.721491
Brockton City Ward 2 Precinct B,2,B,2-B,3254,BROCKTON,44,0.237,151.4,2012,612702.375739,4188.06348941
Brockton City Ward 2 Precinct C,2,C,2-C,3328,BROCKTON,44,0.273,174.93,2012,707934.582122,4005.71997807
Brockton City Ward 2 Precinct D,2,D,2-D,3298,BROCKTON,44,0.313,200.49,2012,811363.137788,3957.94747112
Brockton City Ward 3 Precinct A,3,A,3-A,3306,BROCKTON,44,0.348,222.87,2012,901908.541435,5215.75500753
Brockton City Ward 3 Precinct B,3,B,3-B,3332,BROCKTON,44,0.232,148.49,2012,600920.081907,3633.8240705
Brockton City Ward 3 Precinct C,3,C,3-C,3291,BROCKTON,44,0.665,425.55,2012,1722139.71769,6345.76818157
Brockton City Ward 1 Precinct B,1,B,1-B,3451,BROCKTON,44,0.841,538.16,2012,2177881.58434,8585.74890908
Brockton City Ward 1 Precinct C,1,C,1-C,3285,BROCKTON,44,0.821,525.53,2012,2126763.46774,6312.00262329
Brockton City Ward 1 Precinct D,1,D,1-D,3340,BROCKTON,44,2.013,1288.29,2012,5213553.0254,10739.6384603
Townsend Town Precinct 2,,2,2,2887,TOWNSEND,299,14.226,9104.79,2012,36845916.8249,28054.5073051
Waltham City Ward 2 Precinct 2,2,2,2-2,3422,WALTHAM,308,0.319,204.38,2012,827089.960805,4934.42815588
Brookline Town Precinct 13,,13,13,3631,BROOKLINE,46,0.423,270.97,2012,1096583.0695,9446.04104146
Brookline Town Precinct 14,,14,14,3724,BROOKLINE,46,0.944,604.48,2012,2446244.52612,12495.7134578
Waltham City Ward 5 Precinct 2,5,2,5-2,3416,WALTHAM,308,0.3,191.92,2012,776695.353927,6359.18222582
Waltham City Ward 6 Precinct 1,6,1,6-1,3463,WALTHAM,308,0.301,192.58,2012,779366.013445,5421.48118479
Waltham City Ward 6 Precinct 2,6,2,6-2,3425,WALTHAM,308,0.495,317.09,2012,1283217.66665,6207.00731596
Boxford Town Precinct 1,,1,1,2693,BOXFORD,38,7.838,5016.17,2012,20299814.9483,22210.968184
Boxford Town Precinct 2,,2,2,2673,BOXFORD,38,10.481,6707.89,2012,27145973.7512,26169.2761428
Brockton City Ward 6 Precinct A,6,A,6-A,3285,BROCKTON,44,0.617,395.04,2012,1598692.75533,6576.19773607
Brockton City Ward 6 Precinct B,6,B,6-B,3261,BROCKTON,44,1.421,909.7,2012,3681451.99766,9131.56865692
Uxbridge Town Precinct 3,,3,3,3316,UXBRIDGE,304,14.292,9146.84,2012,37016100.9101,27161.8242309
Waltham City Ward 1 Precinct 1,1,1,1-1,3365,WALTHAM,308,2.478,1585.99,2012,6418292.83512,15053.7627299
Waltham City Ward 1 Precinct 2,1,2,1-2,3291,WALTHAM,308,1.284,821.96,2012,3326354.66795,9711.49196809
Waltham City Ward 2 Precinct 1,2,1,2-1,3368,WALTHAM,308,0.869,556.02,2012,2250127.61398,7800.75012394
Waltham City Ward 3 Precinct 1,3,1,3-1,3361,WALTHAM,308,2.013,1288.61,2012,5214851.34982,12268.3623349
Waltham City Ward 3 Precinct 2,3,2,3-2,3422,WALTHAM,308,0.872,558.1,2012,2258560.04604,10601.1174519
Waltham City Ward 4 Precinct 1,4,1,4-1,3320,WALTHAM,308,0.684,438.06,2012,1772758.03148,6852.36453577
Waltham City Ward 4 Precinct 2,4,2,4-2,3300,WALTHAM,308,0.856,548.06,2012,2217921.77772,7066.85349219
Waltham City Ward 5 Precinct 1,5,1,5-1,3381,WALTHAM,308,0.505,323.37,2012,1308629.72752,5138.40301264
Watertown Town Precinct 12,,12,12,2666,WATERTOWN,314,0.217,138.94,2012,562288.965362,3396.78239202
Waltham City Ward 7 Precinct 1,7,1,7-1,3296,WALTHAM,308,0.917,587.01,2012,2375570.66204,9596.81678015
Waltham City Ward 7 Precinct 2,7,2,7-2,3439,WALTHAM,308,0.665,425.68,2012,1722676.03128,8412.22018373
Waltham City Ward 8 Precinct 1,8,1,8-1,3284,WALTHAM,308,0.368,235.68,2012,953765.762162,5146.84937354
Webster Town Precinct 5,,5,5,3505,WEBSTER,316,2.405,1539.07,2012,6228413.51615,11317.2870245
Fall River City Ward 8 Precinct B,8,B,8-B,3200,FALL RIVER,95,0.508,325.17,2012,1315936.78403,5948.3766266
Fall River City Ward 8 Precinct C,8,C,8-C,3423,FALL RIVER,95,0.814,520.77,2012,2107485.83151,8754.21526297
Fall River City Ward 9 Precinct A,9,A,9-A,3345,FALL RIVER,95,3.215,2057.88,2012,8327997.96876,16029.765375
Fitchburg City Ward 6 Precinct A,6,A,6-A,3397,FITCHBURG,97,2.348,1502.81,2012,6081693.62679,13162.2238192
Fall River City Ward 9 Precinct C,9,C,9-C,3328,FALL RIVER,95,3.567,2282.81,2012,9238243.87848,16297.5989197
Fitchburg City Ward 1 Precinct A,1,A,1-A,3288,FITCHBURG,97,0.5,320.3,2012,1296216.49153,5598.09334463
Fitchburg City Ward 1 Precinct B,1,B,1-B,3297,FITCHBURG,97,0.611,391.08,2012,1582646.49613,6874.16440784
Holliston Town Precinct 3,,3,3,3390,HOLLISTON,136,4.196,2685.75,2012,10868892.3574,21736.8582253
Fitchburg City Ward 3 Precinct A,3,A,3-A,3514,FITCHBURG,97,3.819,2444.22,2012,9891456.745,17402.603501
Hull Town Precinct 2,,2,2,3396,HULL,142,0.579,370.25,2012,1498355.89414,7583.66584678
Hull Town Precinct 1,,1,1,3402,HULL,142,1.265,809.69,2012,3276699.69236,29846.3425638
Fitchburg City Ward 4 Precinct A,4,A,4-A,3464,FITCHBURG,97,5.233,3349.43,2012,13554716.661,21978.2372125
Fitchburg City Ward 4 Precinct B,4,B,4-B,3384,FITCHBURG,97,0.58,371.17,2012,1502059.1019,5209.19679716
Leicester Town Precinct 1,,1,1,2749,LEICESTER,151,10.681,6835.61,2012,27662850.0454,23442.3204142
Fitchburg City Ward 6 Precinct B,6,B,6-B,3361,FITCHBURG,97,1.928,1233.63,2012,4992361.67527,15347.0203379
Franklin Town Precinct 8,,8,8,3987,FRANKLIN,101,4.118,2635.4,2012,10665108.4368,20741.1649985
Leicester Town Precinct 4,,4,4,2854,LEICESTER,151,4.12,2636.51,2012,10669630.0193,15727.9908849
North Adams City Ward 1 Precinct 1,1,1,1-1,2688,NORTH ADAMS,209,3.743,2395.26,2012,9693298.05896,15093.4087101
Franklin Town Precinct 2,,2,2,3837,FRANKLIN,101,2.258,1445.44,2012,5849505.52158,10452.9988492
Franklin Town Precinct 5,,5,5,3984,FRANKLIN,101,6.582,4212.21,2012,17046257.9319,22561.226262
Leominster City Ward 2 Precinct A,2,A,2-A,2776,LEOMINSTER,153,1.345,861.08,2012,3484675.30364,10229.3961437
Leominster City Ward 2 Precinct B,2,B,2-B,2776,LEOMINSTER,153,1.7,1087.78,2012,4402100.67856,11860.8377433
Leominster City Ward 2 Precinct C,2,C,2-C,2786,LEOMINSTER,153,0.315,201.51,2012,815497.000786,4175.2177942
Leominster City Ward 3 Precinct A,3,A,3-A,2741,LEOMINSTER,153,0.955,611.17,2012,2473307.95071,9545.14560697
Gloucester City Ward 4 Precinct 1,4,1,4-1,2946,GLOUCESTER,107,1.934,1237.56,2012,5008261.4647,15004.0193028
Leominster City Ward 4 Precinct A,4,A,4-A,2775,LEOMINSTER,153,5.097,3261.78,2012,13199994.9179,16986.652783
Gloucester City Ward 1 Precinct 2,1,2,1-2,2743,GLOUCESTER,107,1.841,1178.55,2012,4769451.71999,17025.9394398
Gloucester City Ward 4 Precinct 2,4,2,4-2,2949,GLOUCESTER,107,4.275,2736.21,2012,11073112.0092,25522.3954554
Gloucester City Ward 1 Precinct 1,1,1,1-1,2817,GLOUCESTER,107,2.003,1282,2012,5188075.94403,19548.8751322
Gloucester City Ward 2 Precinct 1,2,1,2-1,2875,GLOUCESTER,107,0.368,235.63,2012,953557.14026,6057.95780132
Leominster City Ward 5 Precinct B,5,B,5-B,2708,LEOMINSTER,153,0.928,593.92,2012,2403530.26949,10057.4146119
Leominster City Ward 5 Precinct C,5,C,5-C,2715,LEOMINSTER,153,0.854,546.31,2012,2210835.92923,6603.06549181
North Adams City Ward 2 Precinct 2,2,2,2-2,2757,NORTH ADAMS,209,3.776,2416.49,2012,9779241.13888,16639.1091869
Shrewsbury Town Precinct 7,,7,7,3671,SHREWSBURY,271,2.294,1468,2012,5940802.79635,13530.1052167
Shrewsbury Town Precinct 2,,2,2,3515,SHREWSBURY,271,1.847,1182.05,2012,4783600.67853,10913.3491041
Gloucester City Ward 5 Precinct 2,5,2,5-2,3019,GLOUCESTER,107,10.381,6644.04,2012,26887585.4316,66348.2223974
Longmeadow Town Precinct D,,D,D,3074,LONGMEADOW,159,2.018,1291.76,2012,5227588.66839,10593.3986754
Longmeadow Town Precinct E,,E,E,3117,LONGMEADOW,159,1.495,957.03,2012,3872975.23171,9953.20861806
Lynn City Ward 1 Precinct 1,1,1,1-1,3205,LYNN,163,1.552,993.06,2012,4018779.93698,10560.7406597
Lynn City Ward 1 Precinct 2,1,2,1-2,3267,LYNN,163,0.653,417.69,2012,1690351.59942,8258.82085889
Methuen Town Precinct 1,,1,1,3914,METHUEN,181,1.599,1023.6,2012,4142368.79505,10164.3002106
Lynn City Ward 1 Precinct 3,1,3,1-3,3129,LYNN,163,1.214,776.96,2012,3144254.37495,11820.4674901
Lynn City Ward 1 Precinct 4,1,4,1-4,3198,LYNN,163,0.415,265.4,2012,1074031.73219,5338.79816583
Lynn City Ward 2 Precinct 1,2,1,2-1,3189,LYNN,163,0.564,361.06,2012,1461175.32718,5226.10426802
Lynn City Ward 2 Precinct 2,2,2,2-2,3140,LYNN,163,0.216,138.46,2012,560333.896543,3903.29707552
Lynn City Ward 2 Precinct 3,2,3,2-3,3340,LYNN,163,0.148,94.97,2012,384343.626308,3477.46849933
Lynn City Ward 2 Precinct 4,2,4,2-4,3262,LYNN,163,0.152,97.34,2012,393916.015086,3872.02240796
Lynn City Ward 3 Precinct 1,3,1,3-1,3294,LYNN,163,0.235,150.36,2012,608493.424393,3786.24012874
Lynn City Ward 3 Precinct 2,3,2,3-2,3220,LYNN,163,0.182,116.66,2012,472110.91062,3180.12785676
Halifax Town Precinct 1,,1,1,3758,HALIFAX,118,11.048,7070.89,2012,28614989.0287,30129.6975998
Halifax Town Precinct 2,,2,2,3760,HALIFAX,118,6.346,4061.32,2012,16435652.792,23631.0737614
Lynn City Ward 3 Precinct 3,3,3,3-3,3103,LYNN,163,0.191,122.02,2012,493819.148615,3194.50639899
Lynn City Ward 3 Precinct 4,3,4,3-4,3204,LYNN,163,0.17,108.93,2012,440819.716979,3586.65915502
Lynn City Ward 4 Precinct 1,4,1,4-1,3189,LYNN,163,0.088,56.57,2012,228914.523838,2667.71249407
Hanover Town Precinct 1,,1,1,3307,HANOVER,122,4.448,2846.79,2012,11520601.3466,17910.7671166
Hanover Town Precinct 2,,2,2,3465,HANOVER,122,4.026,2576.45,2012,10426556.2712,20756.9679467
Hanover Town Precinct 3,,3,3,3503,HANOVER,122,4.036,2582.89,2012,10452630.1211,15669.5575017
Hanover Town Precinct 4,,4,4,3604,HANOVER,122,3.183,2037.01,2012,8243503.86503,12974.7193562
Hingham Town Precinct 4,,4,4,3770,HINGHAM,131,7.824,5007.47,2012,20264579.1863,23552.2541002
Hingham Town Precinct 5,,5,5,3707,HINGHAM,131,2.535,1622.59,2012,6566412.36468,13838.1239991
Natick Town Precinct 9,,9,9,3321,NATICK,198,1.609,1029.96,2012,4168097.91701,9277.17328174
Natick Town Precinct 10,,10,10,3408,NATICK,198,4.066,2602.06,2012,10530214.0276,15896.5063487
Needham Town Precinct A,,A,A,2807,NEEDHAM,199,1.038,664.35,2012,2688556.30563,8658.82047646
Needham Town Precinct B,,B,B,2792,NEEDHAM,199,0.946,605.16,2012,2448988.72513,7443.49743077
Chelmsford Town Precinct 7,,7,7,3612,CHELMSFORD,56,2.617,1675.06,2012,6778749.38288,13115.1449046
Holden Town Precinct 2,,2,2,3319,HOLDEN,134,11.831,7572,2012,30642910.0811,26623.7589295
Holden Town Precinct 3,,3,3,3360,HOLDEN,134,2.004,1282.71,2012,5190971.19183,10480.666432
Holden Town Precinct 4,,4,4,3407,HOLDEN,134,4.389,2808.68,2012,11366356.0268,18373.5357133
Holden Town Precinct 5,,5,5,3619,HOLDEN,134,1.563,1000.24,2012,4047835.08522,10072.1261125
Holliston Town Precinct 1,,1,1,3488,HOLLISTON,136,6.41,4102.17,2012,16600945.2269,16371.353994
Holliston Town Precinct 2,,2,2,3416,HOLLISTON,136,3.9,2495.69,2012,10099738.7688,14219.9653286
Marlborough City Ward 1 Precinct 2,1,2,1-2,2712,MARLBOROUGH,170,3.2,2047.79,2012,8287143.71971,16713.1032383
Holliston Town Precinct 4,,4,4,3253,HOLLISTON,136,4.551,2912.65,2012,11787116.9962,23315.9323547
Hull Town Precinct 3,,3,3,3495,HULL,142,0.975,624.08,2012,2525568.10965,24019.1836626
Marlborough City Ward 3 Precinct 2,3,2,3-2,2634,MARLBOROUGH,170,3.692,2362.89,2012,9562306.61179,16134.8517545
Marlborough City Ward 4 Precinct 1,4,1,4-1,2784,MARLBOROUGH,170,0.705,451.28,2012,1826270.58415,5765.69771572
Leominster City Ward 3 Precinct B,3,B,3-B,2598,LEOMINSTER,153,2.091,1338.14,2012,5415277.89187,10973.6732257
Hingham Town Precinct 6,,6,6,3542,HINGHAM,131,4.87,3117.04,2012,12614271.1411,18898.7871455
Holden Town Precinct 1,,1,1,3641,HOLDEN,134,16.528,10577.89,2012,42807372.8607,35059.7862514
Lynnfield Town Precinct 3,,3,3,2765,LYNNFIELD,164,1.576,1008.64,2012,4081835.65836,11015.1759643
Leicester Town Precinct 2,,2,2,2691,LEICESTER,151,5.043,3227.69,2012,13062033.5031,20109.5330444
Leicester Town Precinct 3,,3,3,2676,LEICESTER,151,4.785,3062.71,2012,12394389.4884,15288.7919125
Marshfield Town Precinct 3,,3,3,3433,MARSHFIELD,171,2.794,1788.18,2012,7236517.3326,17838.8083326
Leominster City Ward 1 Precinct A,1,A,1-A,2657,LEOMINSTER,153,2.529,1618.75,2012,6550884.34986,12877.1168214
Leominster City Ward 1 Precinct B,1,B,1-B,2678,LEOMINSTER,153,0.849,543.66,2012,2200132.30259,8910.34631448
Leominster City Ward 1 Precinct C,1,C,1-C,2626,LEOMINSTER,153,1.07,684.79,2012,2771242.80012,12522.3530063
Marshfield Town Precinct 5,,5,5,3457,MARSHFIELD,171,4.073,2606.69,2012,10548938.3149,20019.9757079
Leominster City Ward 3 Precinct C,3,C,3-C,2746,LEOMINSTER,153,2.012,1287.62,2012,5210850.82698,12927.4617093
Mashpee Town Precinct 1,,1,1,2881,MASHPEE,172,7.598,4862.93,2012,19679663.4445,27533.5508787
Methuen Town Precinct 2,,2,2,3947,METHUEN,181,0.268,171.39,2012,693574.773058,4189.42294
Methuen Town Precinct 5,,5,5,3972,METHUEN,181,1.63,1043,2012,4220905.59848,12218.7893975
Marblehead Town Precinct 1,,1,1,3155,MARBLEHEAD,168,0.805,515.13,2012,2084663.64689,10551.3569162
Marblehead Town Precinct 2,,2,2,3434,MARBLEHEAD,168,0.553,353.88,2012,1432091.63068,6821.48765737
Natick Town Precinct 7,,7,7,3227,NATICK,198,1.265,809.48,2012,3275847.67123,8792.63729786
Longmeadow Town Precinct A,,A,A,3185,LONGMEADOW,159,1.008,645.34,2012,2611594.38507,8942.3785402
Longmeadow Town Precinct B,,B,B,3163,LONGMEADOW,159,2.367,1515.08,2012,6131348.28546,12493.868062
Longmeadow Town Precinct C,,C,C,3245,LONGMEADOW,159,2.744,1755.87,2012,7105791.92881,16224.1650552
Melrose City Ward 4 Precinct 2,4,2,4-2,1983,MELROSE,178,0.38,243.32,2012,984678.078338,4732.56412828
Melrose City Ward 5 Precinct 1,5,1,5-1,1886,MELROSE,178,0.511,327.18,2012,1324046.83862,5292.81827472
Melrose City Ward 5 Precinct 2,5,2,5-2,1986,MELROSE,178,0.197,126.01,2012,509963.359101,3907.42441442
Dracut Town Precinct 4,,4,4,3412,DRACUT,79,6.474,4143.2,2012,16766985.7631,22368.8648075
Dracut Town Precinct 8,,8,8,3371,DRACUT,79,4.583,2933.06,2012,11869704.6652,17253.6136038
Gloucester City Ward 2 Precinct 2,2,2,2-2,2754,GLOUCESTER,107,0.328,209.79,2012,848992.049581,7389.44848121
Lynn City Ward 6 Precinct 2,6,2,6-2,3304,LYNN,163,0.135,86.7,2012,350862.251651,3512.52229317
Lynn City Ward 6 Precinct 3,6,3,6-3,3304,LYNN,163,0.151,96.77,2012,391615.563023,3081.75498499
Methuen Town Precinct 6,,6,6,3999,METHUEN,181,1.074,687.22,2012,2781083.04796,8841.00676684
Methuen Town Precinct 4,,4,4,3881,METHUEN,181,0.875,559.71,2012,2265074.69366,7344.10080881
Dracut Town Precinct 1,,1,1,3219,DRACUT,79,1.992,1274.57,2012,5158024.43595,12365.863475
Dracut Town Precinct 7,,7,7,3283,DRACUT,79,1.057,676.49,2012,2737662.04818,8009.67372116
Lynn City Ward 7 Precinct 4,7,4,7-4,3245,LYNN,163,0.271,173.33,2012,701434.056393,6485.45276605
Northampton City Ward 7 Precinct B,7,B,7-B,2037,NORTHAMPTON,214,7.403,4737.68,2012,19172777.8238,23039.7742474
Springfield City Ward 1 Precinct G,1,G,1-G,2466,SPRINGFIELD,281,0.287,183.83,2012,743936.286957,3928.11761698
Springfield City Ward 1 Precinct H,1,H,1-H,2307,SPRINGFIELD,281,0.325,207.79,2012,840892.006764,4088.18433411
Springfield City Ward 2 Precinct A,2,A,2-A,2502,SPRINGFIELD,281,0.207,132.61,2012,536647.297478,4052.2148156
Springfield City Ward 2 Precinct B,2,B,2-B,2343,SPRINGFIELD,281,0.568,363.43,2012,1470743.50389,6193.70209515
Springfield City Ward 2 Precinct C,2,C,2-C,2503,SPRINGFIELD,281,0.286,183.05,2012,740786.57265,4147.3601928
Springfield City Ward 2 Precinct D,2,D,2-D,2458,SPRINGFIELD,281,0.299,191.3,2012,774173.002594,4252.3200579
Lynn City Ward 4 Precinct 2,4,2,4-2,3217,LYNN,163,0.163,104.41,2012,422513.858907,3255.2826889
Lynn City Ward 4 Precinct 3,4,3,4-3,3197,LYNN,163,0.148,94.78,2012,383576.139115,3120.97115398
Lynn City Ward 4 Precinct 4,4,4,4-4,3181,LYNN,163,0.149,95.51,2012,386510.52761,4168.50512424
Lynn City Ward 5 Precinct 1,5,1,5-1,3290,LYNN,163,0.568,363.35,2012,1470427.1901,7040.91633057
Lynn City Ward 5 Precinct 2,5,2,5-2,3104,LYNN,163,0.106,68.14,2012,275745.414576,2693.67049528
Lynn City Ward 5 Precinct 3,5,3,5-3,3233,LYNN,163,0.119,75.92,2012,307248.469701,3152.11909937
Lynn City Ward 5 Precinct 4,5,4,5-4,3230,LYNN,163,0.238,152.52,2012,617217.592039,5540.61906501
Lynn City Ward 6 Precinct 1,6,1,6-1,3286,LYNN,163,0.157,100.51,2012,406761.44352,3229.51939939
Marblehead Town Precinct 3,,3,3,3207,MARBLEHEAD,168,0.667,427.08,2012,1728349.86917,6103.4312758
Marblehead Town Precinct 4,,4,4,3350,MARBLEHEAD,168,0.984,629.53,2012,2547623.6516,18268.9419029
Lynn City Ward 6 Precinct 4,6,4,6-4,3369,LYNN,163,1.157,740.49,2012,2996659.33854,9495.97339626
Lynn City Ward 7 Precinct 1,7,1,7-1,3319,LYNN,163,1.731,1108.14,2012,4484486.8625,14089.6255484
Lynn City Ward 7 Precinct 2,7,2,7-2,3194,LYNN,163,0.37,236.73,2012,958020.1611,5580.57329228
Lynn City Ward 7 Precinct 3,7,3,7-3,3116,LYNN,163,0.234,149.99,2012,607003.48686,3758.06852534
Marlborough City Ward 2 Precinct 1,2,1,2-1,2774,MARLBOROUGH,170,1.491,954.11,2012,3861172.51589,11653.7826157
Lynnfield Town Precinct 4,,4,4,3037,LYNNFIELD,164,3.109,1989.7,2012,8052068.13628,17987.135946
Lynnfield Town Precinct 1,,1,1,2977,LYNNFIELD,164,3.622,2318.02,2012,9380715.20015,19964.15037
Marlborough City Ward 4 Precinct 2,4,2,4-2,2771,MARLBOROUGH,170,3.724,2383.6,2012,9646144.74575,14064.6723445
Lancaster Town Precinct 1,,1,1,4697,LANCASTER,147,20.472,13102.38,2012,53023646.7742,37014.8964194
Lancaster Town Precinct 2,,2,2,3358,LANCASTER,147,7.496,4797.6,2012,19415272.9333,24760.2674062
Marlborough City Ward 6 Precinct 1,6,1,6-1,2794,MARLBOROUGH,170,0.458,293.43,2012,1187486.18941,5581.03155916
Marblehead Town Precinct 5,,5,5,3358,MARBLEHEAD,168,0.605,387.38,2012,1567661.28184,5620.38618708
Marblehead Town Precinct 6,,6,6,3304,MARBLEHEAD,168,0.796,509.33,2012,2061202.05761,8218.41336796
Marlborough City Ward 1 Precinct 1,1,1,1-1,2781,MARLBOROUGH,170,1.199,767.17,2012,3104626.32552,10128.5098812
Needham Town Precinct F,,F,F,2852,NEEDHAM,199,0.641,410.07,2012,1659515.2617,6859.07285219
